	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	0.80294585	0.09366703	-1.7580026	0.834858	-1.0985228	1.030479	-0.8221476	-0.9688079	0.42004347	-1.4911213	1.1241611	1.3761219	0.19997872	-1.3509355	1.7056385	-1.7516345
54	0.64256346	-0.018239273	-1.7562137	0.79961145	-0.8426365	0.8307569	-0.5964263	-0.8146923	0.5470667	-1.3473294	0.87036675	1.2234457	0.2550353	-1.2647158	1.4577252	-1.726911
73	0.7594709	0.1879376	-1.7580609	0.77689916	-1.1790705	1.0843908	-0.94488466	-0.98933244	0.42024133	-1.531888	1.2250541	1.408847	0.17604719	-1.3751425	1.7650392	-1.7543887
101	0.6838554	0.051976934	-1.7577511	0.8485304	-1.0119132	0.96890414	-0.7379922	-0.93673307	0.4630023	-1.4441565	1.0304332	1.3535995	0.24709027	-1.3327806	1.631895	-1.7453247
124	0.788345	0.1436393	-1.7580631	0.7766138	-1.171045	1.1227952	-0.9380128	-1.005504	0.44291893	-1.5341159	1.233733	1.4299957	0.13505712	-1.3757211	1.7514133	-1.7542225
128	0.99437124	0.058424976	-1.7580035	0.84678596	-1.058149	0.92944854	-0.7612079	-0.9053197	0.3713391	-1.4716691	1.0164441	1.242605	0.15679067	-1.3206359	1.6206821	-1.7519151
132	0.77792686	0.07026013	-1.7579871	0.8348398	-1.0778229	1.0115838	-0.8233993	-0.92688847	0.4115169	-1.4886771	1.1024985	1.4024713	0.17473577	-1.3602455	1.6320888	-1.7515417
176	0.93675166	0.14283548	-1.7580637	0.80486304	-1.1454599	1.0411322	-0.8938326	-0.95678365	0.39881426	-1.5213581	1.1834949	1.35243	0.123218864	-1.35877	1.7038364	-1.7544655
278	-0.086725146	0.02262369	-0.1606352	0.045018338	-0.04742217	0.1843779	-0.060094427	-0.14566395	0.15263037	-0.391384	0.21922785	0.16973421	-0.0010612173	-0.28428993	0.15176989	-0.008614545
349	0.7117274	0.045698643	-1.7577564	0.8416622	-1.0076172	0.95815736	-0.7321662	-0.92950344	0.46549535	-1.4408474	1.0239797	1.3448919	0.24290287	-1.3262031	1.6281885	-1.7454183
363	-0.08673164	0.022624418	-0.16070583	0.045029204	-0.047430974	0.18438517	-0.060110148	-0.14567567	0.15264012	-0.39140233	0.21923694	0.16974893	-0.0010595407	-0.28431538	0.15178113	-0.008666625
366	-0.08668438	0.022610975	-0.16109356	0.04507269	-0.047459163	0.18442956	-0.060144834	-0.14569727	0.15267244	-0.3914713	0.2192683	0.16979295	-0.0010426693	-0.2843815	0.15184322	-0.008936986
411	0.8270782	0.09607068	-1.7579913	0.8566354	-1.0792406	1.0177873	-0.80441654	-0.96254873	0.4203788	-1.4858243	1.1344218	1.3669324	0.19967356	-1.3534776	1.7000277	-1.7515525
414	0.7650373	0.042198535	-1.7577246	0.87254894	-0.98792374	0.93361616	-0.6979219	-0.9120379	0.43545333	-1.4295561	1.0267478	1.2991643	0.24772234	-1.3188903	1.6038455	-1.745468
422	0.7681558	0.052652113	-1.7577317	0.8653579	-1.0007113	0.9252621	-0.7151145	-0.9073608	0.44364333	-1.431026	1.0233428	1.2824743	0.24055792	-1.3194242	1.6282619	-1.745613
434	0.90710944	0.014718299	-1.75779	0.84351635	-0.9784977	0.88146734	-0.68092245	-0.8827104	0.4372363	-1.4228425	0.94514835	1.2553288	0.17869155	-1.2988793	1.5541079	-1.7463542
443	0.67874944	0.06466594	-1.7577279	0.85466117	-1.0099326	0.9416847	-0.7244257	-0.9224791	0.441498	-1.4371357	1.0343444	1.3560284	0.26918477	-1.3315253	1.620913	-1.7454263
448	0.7100166	1.4082495	-1.7580993	-0.7118841	-1.6463871	1.6570528	-1.6556664	-0.49570596	1.6974655	-1.7330691	2.342569	-0.07483788	-1.5587987	-1.4622697	1.6258795	-1.758072
521	0.82935363	0.33521682	-1.7580951	0.55249715	-1.2923673	1.1612453	-1.1870143	-0.99542874	0.5144829	-1.6025182	1.4018781	1.3847408	-0.18184069	-1.4002007	1.8627709	-1.7567383
599	0.8030496	0.17481807	-1.7580618	0.78040296	-1.1667061	1.085477	-0.92976624	-1.0034987	0.43281108	-1.5323946	1.2338163	1.4237869	0.14952208	-1.3757826	1.7760152	-1.7541939
609	0.5593768	0.0001667748	-1.7561854	0.8094552	-0.8723855	0.8516112	-0.615177	-0.83196783	0.534345	-1.3552054	0.89874905	1.2434193	0.2762276	-1.2822136	1.4568572	-1.7266399
