	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	0.0	0.0	0.9722088	1.0126173	3.1770642	2.53007	0.0	1.0297561	0.0	1.5380474	0.30370528	1.2710997	0.4933528	0.4714213	0.0074756686	1.1763288
54	0.0	0.0	0.71214354	0.73541886	1.0834287	0.87160325	0.0	0.7006019	0.0	0.6618955	0.45939147	0.5899861	1.2595594	0.20182353	0.48234737	0.52012247
73	0.0	0.0	1.6446506	2.0276995	3.1839774	2.206831	0.0	1.2876625	0.0	1.4346405	0.30793595	0.6928727	2.3376737	0.6282273	0.10151406	0.8351091
101	0.0	0.0	0.92619634	1.9898932	0.5101861	0.7581847	0.0	0.73942304	0.0	0.99613506	0.6636541	1.1156971	0.0	0.37383395	2.238212	0.82649684
124	0.0	0.0	0.6732626	0.2639473	2.5964649	3.4314463	0.0	0.9923458	0.0	1.7340802	1.5138481	2.4206257	0.08876328	0.3011855	0.29710868	1.8188485
128	0.0	0.0	0.869227	0.059545986	0.07949416	0.0042831637	0.0	1.01355	0.0	0.5113974	0.82632154	0.593314	1.8442029	0.027883122	1.9275764	0.67030954
132	0.0	0.0	0.3866977	0.38992518	1.669412	2.836957	0.0	0.7916201	0.0	1.4345522	1.2228329	1.4507419	0.16991067	0.20888875	2.0415726	1.5215265
176	0.0	0.0	1.4720104	0.31120664	0.0	0.0	0.0	0.7531495	0.0	0.5063117	1.3936477	1.0767378	2.0936148	0.11592949	1.0969212	0.68387014
278	0.0	0.0	0.6082534	0.8484903	0.33029446	0.50737345	0.0	0.5565149	0.0	0.44151148	0.3210838	0.42007402	1.2700837	0.14316735	1.0823498	0.34498549
349	0.0	0.0	0.0	1.1176553	2.7274108	1.1519506	0.0	1.3217489	0.0	1.1042085	2.3517148	0.76279503	0.7995255	0.34578237	0.7962026	0.8518436
363	0.0	0.0	0.5007657	0.55409807	0.71886486	0.5640723	0.0	0.5343245	0.0	0.5217232	0.5695071	0.5673038	0.6479945	0.15193987	0.5935607	0.47174978
366	0.0	0.0	0.5007657	0.55409807	0.71886486	0.5640723	0.0	0.5343245	0.0	0.5217232	0.5695071	0.5673038	0.6479945	0.15193987	0.5935607	0.47174978
411	0.0	0.0	0.37064284	0.1775623	0.09459222	0.25161874	0.0	0.3057559	0.0	0.398104	0.31163597	0.37141547	0.0862056	0.019229814	0.4281048	0.42762756
414	0.0	0.0	0.07190816	0.0	0.0	0.41402566	0.0	0.21039562	0.0	0.35685298	0.56755346	0.7045754	0.004988039	0.0	0.24633361	0.51208687
422	0.0	0.0	0.038599927	0.47921982	0.90351045	0.15896308	0.0	0.7000054	0.0	0.4761738	0.42133617	0.43148753	0.0841191	0.108905576	0.9545505	0.43138775
434	0.0	0.0	0.3242277	1.2564181	2.652057	1.5841565	0.0	0.98081744	0.0	1.1868151	0.4895162	0.3506516	0.16906911	0.38738304	0.9894791	0.82054776
443	0.0	0.0	0.18645483	0.21928567	0.56870395	0.3851815	0.0	0.758617	0.0	0.4027831	0.7268688	0.39069286	1.5934211	0.025965894	1.103125	0.38509145
448	0.015884731	0.0	2.4051332	6.83556	3.3914883	0.0	0.0	3.3082132	0.0	2.5557244	4.08745	0.9587088	0.44077337	1.4046443	4.6539598	1.4977885
521	0.0	0.0	1.9979029	0.9000654	0.0	0.6054487	0.0	1.1788164	0.0	0.98829466	0.8425977	3.7890549	0.81085867	0.2933282	2.059519	1.4887094
599	0.0	0.0	0.0	0.10895792	0.03690231	0.32138893	0.0	0.4017028	0.0	0.26442882	0.7762632	0.6411111	0.8164624	0.0	0.25329608	0.37703207
609	0.0	0.0	0.11050166	0.5783938	1.0934609	1.2181362	0.0	0.42885748	0.0	0.61629194	0.007354062	0.8470407	0.23899171	0.13644317	0.22220907	0.5372589
688	0.0	0.0	2.3142786	1.7416705	0.7601998	1.6572207	0.0	1.1097502	0.0	1.4442502	1.4436245	1.2330055	1.4693869	0.5290915	3.0716884	1.3919305
771	0.0	0.0	0.0	0.0	0.0	0.63809776	0.0	0.5374157	0.0	0.33587015	0.22754698	1.6337385	0.7422787	0.0	0.9055773	0.59410256
852	0.0	0.0	0.0	0.08912333	0.58507067	0.160828	0.0	0.5924118	0.0	0.28498447	0.11872276	0.77054685	0.70841044	0.0	0.0	0.32611933
924	0.0	0.0	0.24060832	0.86708736	2.4401205	0.0	0.0	1.5288397	0.0	0.9123367	1.5303636	0.0	0.6982182	0.3008234	0.8147275	0.5632682
951	0.0	0.0	0.0	0.071265325	0.46946886	0.4811014	0.0	0.44918948	0.0	0.46083102	0.32649982	0.730601	0.0	0.012006681	0.70882756	0.55002576
1015	0.0	0.0	0.48134166	0.08486046	0.33872283	0.25899822	0.0	0.27477306	0.0	0.39592537	0.50419194	0.30107656	0.38961166	0.0464482	0.09654744	0.4070094
1105	0.0	0.0	1.5370637	0.8289165	0.0	0.0	0.0	0.5504657	0.0	0.5406689	0.41284513	0.83492625	1.1925895	0.1878185	0.83256036	0.55077916
1163	0.0	0.0	0.0	1.2389381	2.8613486	1.5508233	0.0	1.1698408	0.0	1.2633839	2.220249	0.0	0.9330308	0.32275432	0.91114897	0.84567153
1164	0.0	0.0	1.5852984	1.7590228	2.149768	0.87708014	0.0	1.6651994	0.0	1.1974518	2.054291	2.5296698	1.385915	0.6343044	1.4789629	1.1787554
1200	0.0	0.0	0.085751384	0.8990707	0.0090854615	1.6039304	0.0	1.2696558	0.0	0.8925111	1.9508054	4.4419346	0.5451989	0.1272932	1.9190294	1.5097197
1282	0.0	0.0	0.5007657	0.55409807	0.71886486	0.5640723	0.0	0.5343245	0.0	0.5217232	0.5695071	0.5673038	0.6479945	0.15193987	0.5935607	0.47174978
1500	0.0	0.0	0.4064085	2.080171	2.6273596	1.8083211	0.0	1.0188991	0.0	1.3191564	0.50195384	0.924401	0.0	0.49730626	1.0338529	0.8985046
1547	0.0	0.0	0.55238104	0.5199001	4.2549434	2.934071	0.0	1.5279775	0.0	2.0571368	0.66077876	0.8063135	0.0	0.40731335	0.4072861	1.609582
1585	0.0	0.0	0.26878017	0.283927	1.1723545	1.4602692	0.0	0.4827814	0.0	0.7873687	0.30336168	0.0	0.86212623	0.09441358	1.0593935	0.6388663
1602	0.0	0.0	0.63713485	0.13638034	0.30063352	0.4615141	0.0	0.41373095	0.0	0.3833966	0.14537571	0.47734985	1.0912807	0.025309132	0.050227467	0.37744507
1637	0.0	0.0	1.128832	0.32555622	1.6019169	1.9057379	0.0	0.388755	0.0	1.1837544	0.09634291	0.36794496	0.19478357	0.26105905	0.58239657	0.98946434
1639	0.0	0.0	0.53244597	0.32439822	0.56040746	0.582879	0.0	0.37413442	0.0	0.54107493	0.42441642	0.23071395	0.48997107	0.113118276	0.4838664	0.48429745
1640	0.0	0.0	1.1290604	0.3255555	1.5970702	1.9013581	0.0	0.3884279	0.0	1.1820927	0.09588388	0.37158674	0.19148442	0.2610623	0.5781038	0.98854053
1758	0.0	0.0	0.8155394	0.33132428	0.27896646	0.0	0.0	0.7221022	0.0	0.5153066	1.0987741	0.15376738	1.3200828	0.10552125	1.6016306	0.5195564
1797	0.0	0.0	0.5938423	0.48071444	0.6522414	0.7445883	0.0	0.7198897	0.0	0.8356063	0.72049254	0.0	0.630219	0.11288361	2.0010324	0.7523162
1806	0.0	0.0	1.2489634	0.21030402	0.0	0.05355576	0.0	0.56467485	0.0	0.4139986	0.53870684	1.2500868	1.393423	0.07444276	0.0	0.53560424
1820	0.0	0.0	2.1460328	0.3398601	2.9438705	4.5743136	0.0	1.2002513	0.0	2.061837	0.78118014	3.6427205	1.2850099	0.4492277	0.18392211	2.2439098
1822	0.0	0.0	0.777039	0.47766593	1.3863673	1.1087121	0.0	0.6243703	0.0	0.9980879	1.1308727	0.32476887	0.3676129	0.24455623	1.0513365	0.8717218
1841	0.0	0.0	0.09059282	1.4362252	1.3424776	0.8766405	0.0	0.9414123	0.0	0.69520545	0.80329216	2.0257862	0.1720097	0.33577338	0.78758144	0.6755556
1872	0.0	0.0	0.49822026	0.1587457	0.25526014	0.35323918	0.0	0.5309976	0.0	0.50076044	0.14312565	1.1022601	0.29018638	0.026433429	0.53006	0.5967507
1965	0.0	0.0	2.1887956	1.6754624	1.3854862	0.2747969	0.0	0.977338	0.0	1.0625454	0.8135339	0.7790936	0.6767878	0.5626203	0.8877272	0.8340133
1978	0.0	0.0	1.4823068	1.0120016	0.6178419	0.31115797	0.0	0.5415834	0.0	0.7525094	0.6737114	0.6538927	0.33476344	0.3194838	0.52512854	0.6697486
1994	0.0	0.0	0.6040559	1.1105043	1.3213589	1.7110714	0.0	0.7007277	0.0	0.80150867	0.0	0.056704897	2.194191	0.21800312	1.2303084	0.45471674
2117	0.0	0.0	1.284881	2.7241044	1.5122565	0.0	0.0	1.4432516	0.0	1.0988883	1.773495	0.90411055	0.2861183	0.63035774	1.9947987	0.77997357
2126	0.0	0.0	0.83648753	1.4278028	2.6343	0.4062689	0.0	1.234539	0.0	0.9991903	0.31155464	1.1202736	0.003526872	0.49355212	0.12654337	0.6753646
2137	0.0	0.0	1.125909	1.9301431	1.2073504	0.80665356	0.0	1.3290828	0.0	0.942608	0.64100575	0.0	2.8105211	0.34876862	3.1156616	0.54744124
2154	0.0	0.0	0.2705453	0.5589555	1.3170602	0.3843326	0.0	0.84457815	0.0	0.60875034	0.90294945	0.42714226	0.6454898	0.17705669	0.6064293	0.48516077
