	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	0.107222274	0.8716523	-2.0092287	0.5135546	1.1562853	-0.34403658	-1.3276318	1.0453969	0.87725013	1.1407603	2.425089	-1.2098283	0.28556252	-0.2801671	0.21077272	-0.73088634
54	0.13546772	1.5924358	-1.8783687	0.8337177	0.5481255	-0.6061746	-0.9759189	0.84358543	0.38175362	-0.01612021	0.72891855	-1.5033419	-0.13025953	-1.116482	0.07457152	-0.46107006
73	0.09836863	1.4380901	-2.4079437	0.9279278	1.4222829	0.0438041	-1.9049588	1.60327	0.971222	1.2868465	2.5796874	-1.5080268	0.63535666	-0.13470256	0.9155065	-1.0921655
101	0.55604887	2.4823592	-2.1782346	1.7632825	1.0309354	-1.0071173	-1.6124752	2.0392497	1.5646123	0.12907901	2.088619	-0.90968114	0.21987121	-0.5179453	0.2512751	-0.17305887
124	-0.2928793	0.30622503	-1.6999469	0.45872992	1.4706274	0.45498085	-1.2922715	0.629128	1.3248655	1.4022838	2.912952	-0.9897606	0.66631323	0.6411111	1.4311545	-1.3780664
128	-0.1694082	0.014432028	-1.6883749	0.72070414	2.5098898	0.15617825	-1.1908665	0.8859883	1.9653699	1.7649975	3.569659	-0.955797	0.24804707	0.76676595	1.709172	-0.9263078
132	-0.17574424	1.2470233	-2.21337	1.572088	0.6421592	-0.29739302	-1.2765466	1.4665537	1.7993513	1.0992057	2.2802687	-0.9088723	0.44677746	0.30409688	0.45351192	-0.46112365
176	0.038122892	1.0775456	-2.1917095	0.5844504	1.3421988	-0.13160871	-1.5126543	1.2048092	0.7278668	1.1184258	2.268323	-1.3671737	0.4287889	-0.2548852	0.7061987	-0.8666315
278	0.32875514	1.5856419	-1.1534605	0.72202677	1.1856642	-1.5502284	-0.6307419	0.89696014	1.1007731	-0.81772566	1.7300786	0.11642737	-0.036997646	-0.46899205	0.09848094	-0.23961762
349	-0.11364791	0.7602751	-1.7402943	0.42551735	1.0709461	-0.11490466	-1.1666439	0.8150607	0.85238576	1.0314126	2.417123	-0.92391354	0.40074784	0.066134885	0.5606351	-0.75471675
363	1.1971396	0.8468105	0.98355657	1.787312	3.8438168	-2.7519267	0.74502504	1.193962	1.9326658	-2.5762517	1.5030901	1.1162349	-1.9234394	-1.0275742	0.4431394	1.5667744
366	1.1971396	0.8468105	0.98355657	1.787312	3.8438168	-2.7519267	0.74502504	1.193962	1.9326658	-2.5762517	1.5030901	1.1162349	-1.9234394	-1.0275742	0.4431394	1.5667744
411	-0.031000018	1.0260743	-2.1007695	0.30707526	0.29290038	0.12767485	-1.4382513	0.82150316	0.14336179	0.66472757	1.4237157	-1.1480566	0.66337717	-0.36660004	0.17966877	-1.266877
414	0.4494488	2.1051383	-1.2046036	0.9981595	1.7072525	-1.6389991	-1.0366458	1.5191228	1.7866765	-0.9359534	2.1047363	-0.043512598	0.18322642	-0.44705707	0.3017601	-0.3027116
422	0.35782388	1.0668967	-0.7361638	0.9514872	2.4936805	-2.0348268	-0.30825394	0.48154673	1.8401577	-0.81251514	2.0189233	0.33956593	-1.1656531	-0.4542657	-0.19820538	0.6037336
434	0.0391002	0.13659716	-1.7887093	1.0702186	2.4255927	-0.44690853	-1.0217239	1.3017582	2.1685693	1.500949	3.252971	-0.83876127	-0.13050222	0.3975013	0.7029026	-0.33268034
443	0.49219126	1.7516546	-1.7080544	0.72010386	1.0922755	-1.1257792	-1.0003821	1.3275554	0.7000867	-0.16565017	1.6412672	-0.49214512	0.1297733	-0.64805675	0.28162408	-0.18672279
448	-1.9292456	-2.8573549	-6.6488075	-0.32070494	12.169108	-3.1761742	-4.0210276	2.5075476	7.522787	5.758167	11.906742	-1.0614226	4.1076984	4.461373	6.03702	-3.3069656
